x               e^(-x)          (e^-x)'         (e^-x)''                                                             
     -1.00            2.72           -2.69            2.69                                                                   
     -0.98            2.66           -2.64            2.64                                                                   
     -0.96            2.61           -2.59            2.59                                                                   
     -0.94            2.56           -2.53            2.53                                                                   
     -0.92            2.51           -2.48            2.48                                                                   
     -0.90            2.46           -2.44            2.44                                                                   
     -0.88            2.41           -2.39            2.39                                                                   
     -0.86            2.36           -2.34            2.34                                                                   
     -0.84            2.32           -2.29            2.29                                                                   
     -0.82            2.27           -2.25            2.25                                                                   
     -0.80            2.23           -2.20            2.20                                                                   
     -0.78            2.18           -2.16            2.16                                                                   
     -0.76            2.14           -2.12            2.12                                                                   
     -0.74            2.10           -2.08            2.08                                                                   
     -0.72            2.05           -2.03            2.03                                                                   
     -0.70            2.01           -1.99            1.99                                                                   
     -0.68            1.97           -1.95            1.95                                                                   
     -0.66            1.93           -1.92            1.92                                                                   
     -0.64            1.90           -1.88            1.88                                                                   
     -0.62            1.86           -1.84            1.84                                                                   
     -0.60            1.82           -1.80            1.80                                                                   
     -0.58            1.79           -1.77            1.77                                                                   
     -0.56            1.75           -1.73            1.73                                                                   
     -0.54            1.72           -1.70            1.70                                                                   
     -0.52            1.68           -1.67            1.67                                                                   
     -0.50            1.65           -1.63            1.63                                                                   
     -0.48            1.62           -1.60            1.60                                                                   
     -0.46            1.58           -1.57            1.57                                                                   
     -0.44            1.55           -1.54            1.54                                                                   
     -0.42            1.52           -1.51            1.51
     -0.40            1.49           -1.48            1.48                                                                   
     -0.38            1.46           -1.45            1.45                                                                   
     -0.36            1.43           -1.42            1.42                                                                   
     -0.34            1.40           -1.39            1.39                                                                   
     -0.32            1.38           -1.36            1.36                                                                   
     -0.30            1.35           -1.34            1.34                                                                   
     -0.28            1.32           -1.31            1.31                                                                   
     -0.26            1.30           -1.28            1.28                                                                   
     -0.24            1.27           -1.26            1.26                                                                   
     -0.22            1.25           -1.23            1.23                                                                   
     -0.20            1.22           -1.21            1.21                                                                   
     -0.18            1.20           -1.19            1.19                                                                   
     -0.16            1.17           -1.16            1.16                                                                   
     -0.14            1.15           -1.14            1.14                                                                   
     -0.12            1.13           -1.12            1.12                                                                   
     -0.10            1.11           -1.09            1.09                                                                   
     -0.08            1.08           -1.07            1.07                                                                   
     -0.06            1.06           -1.05            1.05                                                                   
     -0.04            1.04           -1.03            1.03                                                                   
     -0.02            1.02           -1.01            1.01                                                                   
     -0.00            1.00           -0.99            0.99                                                                   
      0.02            0.98           -0.97            0.97                                                                   
      0.04            0.96           -0.95            0.95                                                                   
      0.06            0.94           -0.93            0.93                                                                   
      0.08            0.92           -0.91            0.91                                                                   
      0.10            0.90           -0.90            0.90                                                                   
      0.12            0.89           -0.88            0.88                                                                   
      0.14            0.87           -0.86            0.86                                                                   
      0.16            0.85           -0.84            0.84                                                                   
      0.18            0.84           -0.83            0.83                                                                   
      0.20            0.82           -0.81            0.81                                                                   
      0.22            0.80           -0.79            0.79                                                                   
      0.24            0.79           -0.78            0.78                                                                   
      0.26            0.77           -0.76            0.76                                                                   
      0.28            0.76           -0.75            0.75                                                                   
      0.30            0.74           -0.73            0.73                                                                   
      0.32            0.73           -0.72            0.72                                                                   
      0.34            0.71           -0.70            0.70                                                                   
      0.36            0.70           -0.69            0.69                                                                   
      0.38            0.68           -0.68            0.68                                                                   
      0.40            0.67           -0.66            0.66                                                                   
      0.42            0.66           -0.65            0.65                                                                   
      0.44            0.64           -0.64            0.64                                                                   
      0.46            0.63           -0.63            0.63                                                                   
      0.48            0.62           -0.61            0.61                                                                   
      0.50            0.61           -0.60            0.60                                                                   
      0.52            0.59           -0.59            0.59                                                                   
      0.54            0.58           -0.58            0.58                                                                   
      0.56            0.57           -0.57            0.57                                                                   
      0.58            0.56           -0.55            0.55                                                                   
      0.60            0.55           -0.54            0.54                                                                   
      0.62            0.54           -0.53            0.53                                                                   
      0.64            0.53           -0.52            0.52                                                                   
      0.66            0.52           -0.51            0.51                                                                   
      0.68            0.51           -0.50            0.50                                                                   
      0.70            0.50           -0.49            0.49                                                                   
      0.72            0.49           -0.48            0.48                                                                   
      0.74            0.48           -0.47            0.47                                                                   
      0.76            0.47           -0.46            0.46                                                                   
      0.78            0.46           -0.45            0.45 
      0.80            0.45           -0.44            0.44                                                                   
      0.82            0.44           -0.44            0.44                                                                   
      0.84            0.43           -0.43            0.43                                                                   
      0.86            0.42           -0.42            0.42                                                                   
      0.88            0.41           -0.41            0.41                                                                   
      0.90            0.41           -0.40            0.40                                                                   
      0.92            0.40           -0.39            0.39                                                                   
      0.94            0.39           -0.39            0.39                                                                   
      0.96            0.38           -0.38            0.38                                                                   
      0.98            0.38            0.37           -0.10                                                                   
                  
